0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,10,9
7,73,36
8,108,80
9,194,140
10,349,215
11,404,245
12,567,378
13,624,465
14,743,516
15,804,566
16,804,604
17,863,604
18,986,706
19,1048,749
20,1048,801
21,1109,801
22,1109,851
23,1178,899
24,1309,955
25,1371,1063
26,1431,1114
27,1564,1221
28,1628,1277
29,1749,1383
30,1882,1443
31,1945,1557
32,2006,1621
33,2132,1673
34,2259,1792
35,2320,1912
36,2445,1974
37,2509,2034
38,2509,2093
39,2571,2093
40,2622,2149
41,2690,2266
42,2747,2326
43,2801,2376
44,2855,2433
45,2915,2488
46,2965,2532
47,3013,2584
48,3069,2584
49,3113,2635
50,3166,2684
51,3166,2731
52,3208,2777
53,3258,2777
54,3296,2831
55,3343,2873
56,3343,2915
57,3380,2964
58,3424,2964
59,3458,3012
60,3499,3050
61,3540,3095
62,3580,3181
63,3655,3232
64,3690,3310
65,3725,3347
66,3759,3392
67,3791,3427
68,3863,3461
69,3892,3543
70,3920,3573
71,3957,3573
72,3983,3611
73,4018,3648
74,4043,3675
75,4076,3744
76,4098,3777
77,4130,3809
78,4151,3840
79,4200,3870
80,4219,3937
81,4263,3963
82,4290,4015
83,4305,4039
84,4330,4063
85,4345,4086
86,4369,4109
87,4382,4140
88,4395,4160
89,4417,4180
90,4438,4200
91,4450,4228
92,4470,4228
93,4480,4246
94,4500,4280
95,4528,4305
96,4546,4321
97,4553,4345
98,4571,4382
99,4587,4396
100,4594,4418
101,4610,4429
102,4625,4450
103,4640,4471
104,4645,4471
105,4659,4481
106,4659,4500
107,4673,4510
108,4677,4528
109,4703,4554
110,4715,4571
111,4730,4578
112,4741,4595
113,4741,4601
114,4743,4601
115,4754,4617
116,4765,4632
117,4776,4637
118,4776,4637
119,4776,4651
120,4776,4656
121,4786,4670
122,4796,4674
123,4806,4687
124,4815,4691
125,4824,4716
126,4823,4719
127,4840,4733
128,4839,4744
129,4847,4746
130,4855,4746
131,4863,4757
132,4863,4757
133,4861,4768
134,4861,4768
135,4861,4769
136,4868,4769
137,4868,4769
138,4875,4779
139,4873,4789
140,4880,4799
141,4887,4809
142,4884,4809
143,4891,4808
144,4891,4808
145,4898,4817
146,4898,4817
147,4898,4817
148,4895,4817
149,4895,4817
150,4901,4826
151,4907,4834
152,4913,4833
153,4913,4842
154,4910,4842
155,4910,4850
156,4916,4850
157,4916,4850
158,4921,4848
159,4921,4848
160,4918,4864
161,4923,4862
162,4929,4862
163,4925,4869
164,4925,4867
165,4930,4867
166,4930,4874
167,4926,4872
168,4937,4879
169,4937,4886
170,4933,4886
171,4933,4883
172,4938,4890
173,4943,4890
174,4943,4896
175,4938,4893
176,4943,4900
177,4948,4906
178,4953,4906
179,4958,4912
180,4953,4918
181,4957,4914
182,4957,4920
183,4962,4920
184,4962,4926
185,4957,4926
186,4961,4931
187,4961,4931
188,4966,4927
189,4966,4927
190,4970,4933
191,4964,4938
192,4969,4943
193,4973,4948
194,4973,4943
195,4967,4948
196,4976,4948
197,4979,4953
198,4983,4948
199,4978,4953
200,4981,4948
201,4985,4948
202,4979,4953
203,4979,4953
204,4983,4958
205,4987,4953
206,4990,4957
207,4984,4957
208,4988,4961
209,4991,4961
210,4995,4966
211,4995,4966
212,4998,4960
213,4992,4965
214,4995,4964
215,4999,4968
216,4992,4963
217,4996,4963
218,4999,4967
219,4999,4971
220,4993,4971
221,4993,4966
222,4996,4970
223,4999,4974
224,4996,4969
225,4996,4973
226,5000,4973
227,4993,4977
228,4993,4977
229,4997,4971
230,5000,4975
231,5000,4979
232,4994,4979
233,4997,4974
234,4997,4974
235,5000,4978
236,5000,4981
237,4994,4976
238,5001,4980
239,4994,4983
240,4998,4987
241,5001,4981
242,5001,4985
243,4995,4989
244,4998,4989
245,4992,4992
246,4992,4986
247,4995,4990
248,4989,4993
249,4992,4987
250,4996,4991
251,4993,4994
252,4987,4997
253,4991,4994
254,4994,4998
255,4988,5001
256,4995,5004
257,4989,4998
258,4992,5001
259,4996,4998
260,4989,5001
261,4993,5004
262,4996,5007
263,4990,5007
264,4994,5004
265,4991,5007
266,4994,5000
267,4994,5003
268,4997,5003
269,4997,5006
270,4991,5006
271,4991,5000
272,4995,5003
273,4998,5006
274,4992,5000
275,4998,5003
276,4998,5006
277,4992,4999
278,4996,4999
279,4999,5002
280,4993,4996
281,4996,4999
282,4999,4996
283,4993,4999
284,4996,5003
285,5000,5003
286,4993,4996
287,4997,4999
288,5000,4993
289,5000,4987
290,4994,4987
291,4997,4991
292,5000,4985
293,4994,4988
294,4994,4988
295,4997,4983
296,4997,4986
297,5001,4986
298,5004,4980
299,5004,4984
300,4997,4988
301,5000,4982
302,5004,4982
303,4997,4986
304,4997,4986
305,5000,4989
306,5000,4989
307,5000,4983
308,5004,4987
309,5007,4987
310,5000,4981
311,5003,4985
312,4997,4983
313,5000,4983
314,5000,4986
315,4997,4981
316,5000,4984
317,5000,4988
318,4994,4988
319,4997,4982
320,5001,4986
321,5001,4980
322,4994,4980
323,4994,4984
324,4998,4984
325,5001,4987
326,5001,4987
327,4995,4981
328,4995,4985
329,4992,4989
330,4992,4983
331,4995,4987
332,4998,4987
333,4992,4990
334,4992,4990
335,4996,4984
336,4996,4984
337,4996,4988
338,4989,4991
339,4993,4991
340,4996,4985
341,4996,4985
342,4996,4989
343,4990,4989
344,4994,4992
345,4994,4986
346,4997,4990
347,4991,4990
348,4991,4993
349,4994,4993
350,4994,4987
351,4997,4987
352,4991,4991
353,4991,4994
354,4995,4994
355,4995,4988
356,4998,4988
357,4992,4992
358,4992,4992
359,4992,4995
360,4995,4995
361,4995,4995
362,4998,4989
363,4998,4989
364,4998,4992
365,4992,4992
366,4992,4992
367,4996,4996
368,4996,4996
369,4996,4990
370,4999,4990
371,4993,4993
372,4993,4996
373,4996,4990
374,4993,4994
375,4993,4988
376,4997,4991
377,4990,4991
378,4990,4985
379,4994,4985
380,4994,4985
381,4997,4989
382,4997,4992
383,4991,4992
384,4991,4992
385,4994,4986
386,4998,4990
387,5001,4984
388,4995,4988
389,4995,4988
390,4998,4982
391,5001,4985
392,5001,4989
393,4995,4989
394,4998,4983
395,5001,4987
396,5001,4981
397,4998,4985
398,4998,4979
399,5002,4979
400,4995,4983
401,4995,4983
402,4998,4986
403,4998,4986
404,4998,4980
405,5002,4984
406,5005,4984
407,5005,4984
408,4998,4978
409,4998,4982
410,5002,4977
411,4995,4971
412,4998,4975
413,5002,4975
414,5002,4970
415,4995,4970
416,4999,4974
417,4992,4978
418,4996,4972
419,4999,4976
420,4993,4980
421,4993,4974
422,4996,4974
423,4990,4978
424,4990,4982
425,4993,4982
426,4997,4986
427,4997,4980
428,4991,4980
429,4994,4984
430,4994,4984
431,4997,4978
432,4997,4978
433,4991,4982
434,4991,4982
